"id","source","agency","title","opportunity_number","posted_date","close_date","deadline","url","final_score","keyword_score","semantic_score","matched_topics","high_priority","rationale","summary","eligibility","cost_share","contact","raw_tags"
"eu-2e5c607e-6e55-4268-b99a-730c5db350b7-PIN","EU Portal","EU Programme","Development of a rapid point-of-care antimicrobial susceptibility testing diagnostic medical device","HADEA/2025/CPN/0006-PIN","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/2e5c607e-6e55-4268-b99a-730c5db350b7-PIN","3.95","6.58","0.0","Diagnostics, Medical Devices","False","","Development of a rapid point-of-care antimicrobial susceptibility testing diagnostic medical device","See call details","","",""
"eu-HORIZON-HLTH-2024-IND-06-08","EU Portal","Horizon Europe - Health","A competitive health-related industry (Single stage - 2024)","HORIZON-HLTH-2024-IND-06","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2024-IND-06-08.json","3.95","6.58","0.0","Diagnostics, Medical Devices","False","","Developing EU methodological frameworks for clinical/performance evaluation and post-market clinical/performance follow-up of medical devices and in vitro diagnostic medical devices (IVDs)","See call details","","",""
"eu-HORIZON-MISS-2022-CANCER-01-03","EU Portal","Horizon Europe","Research and Innovation actions supporting the implementation of the Mission on Cancer","HORIZON-MISS-2022-CANCER-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-MISS-2022-CANCER-01-03.json","3.95","6.58","0.0","Therapeutics, Cancer/Oncology","False","","Pragmatic clinical trials to optimise treatments for patients with refractory cancers","See call details","","",""
"eu-HORIZON-EIC-2025-PATHFINDERCHALLENGES-01-01","EU Portal","EIC","EIC Pathfinder Challenges 2025","HORIZON-EIC-2025-PATHFINDERCHALLENGES-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-EIC-2025-PATHFINDERCHALLENGES-01-01.json","3.95","6.58","0.0","Biomanufacturing, EU Programmes","False","","Biotech for Climate Resilient Crops and Plant-Based Biomanufacturing","See call details","","",""
"eu-HORIZON-HLTH-2023-IND-06-02","EU Portal","Horizon Europe - Health","A competitive health-related industry (Single stage - 2023)","HORIZON-HLTH-2023-IND-06","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2023-IND-06-02.json","3.16","5.26","0.0","Digital Health/AI, EU Programmes","False","","Expanding the European Electronic Health Record exchange Format to improve interoperability within the European Health Data Space","See call details","","",""
"eu-HORIZON-HLTH-2024-DISEASE-17-01","EU Portal","Horizon Europe - Health","Tackling diseases (Single stage - 2024)","HORIZON-HLTH-2024-DISEASE-17","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2024-DISEASE-17-01.json","3.16","5.26","0.0","Cancer/Oncology, Infectious Disease","False","","Pandemic preparedness and response: Maintaining and enhancing the preparatory work for a co-funded European partnership for pandemic preparedness","See call details","","",""
"eu-HORIZON-JU-IHI-2022-03-05","EU Portal","IHI","HORIZON-JU-IHI-2022-03-single-stage","HORIZON-JU-IHI-2022-03-single-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2022-03-05.json","3.16","5.26","0.0","Digital Health/AI, EU Programmes","False","","Digital health technologies for the prevention and personalised management of mental disorders and their long-term health consequences","See call details","","",""
"eu-HORIZON-JU-IHI-2024-07-03-singe-stage","EU Portal","IHI","Innovative Health Initiative JU Call 7","HORIZON-JU-IHI-2024-07-single-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2024-07-03-singe-stage.json","3.16","5.26","0.0","Diagnostics, EU Programmes","False","","Clinical validation of biomarkers for diagnosis, monitoring disease progression and treatment response","See call details","","",""
"eu-EU4H-2022-PJ-09","EU Portal","EU4Health","Call for proposals on promoting mental health: implementing  best practices to improve mental health and psycological wellbeing in migrant and refugee populations","EU4H-2022-PJ2","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/EU4H-2022-PJ-09.json","3.16","5.26","0.0","Mental Health, Aging","False","","Calls for proposals on promoting mental health: Mental health support for Ukrainian displaced people","See call details","","",""
"eu-HORIZON-JU-IHI-2022-01-01","EU Portal","IHI","HORIZON-JU-IHI-2022-01-single-stage","HORIZON-JU-IHI-2022-01-single-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2022-01-01.json","2.77","4.61","0.0","Neuroscience, EU Programmes","False","","An innovative decision-support system for improved care pathways for patients with neurodegenerative diseases and comorbidities","See call details","","",""
"eu-HORIZON-JU-IHI-2022-02-01","EU Portal","IHI","HORIZON-JU-IHI-2022-02-two-stage","HORIZON-JU-IHI-2022-02-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-IHI-2022-02-01.json","2.77","4.61","0.0","Cardiovascular, EU Programmes","False","","Cardiovascular diseases - improved prediction, prevention, diagnosis, and monitoring","See call details","","",""
"eu-HORIZON-CL6-2025-02-FARM2FORK-12","EU Portal","Horizon Europe","Cluster 6 Call 02 - single stage","HORIZON-CL6-2025-02","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2025-02-FARM2FORK-12.json","2.77","4.61","0.0","Mental Health, Nutrition","False","","Nutrition and Mental Health","See call details","","",""
"eu-HORIZON-JU-CBE-2025-RIA-03","EU Portal","Horizon Europe","Circular Bio-based Europe Joint Undertaking","HORIZON-JU-CBE-2025","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-CBE-2025-RIA-03.json","2.77","4.61","0.0","Biomanufacturing","False","","Alternative biomanufacturing routes for natural and synthetic rubber","See call details","","",""
"eu-HORIZON-CL6-2025-01-CIRCBIO-10","EU Portal","Horizon Europe","Cluster 6 Call 01 - single stage","HORIZON-CL6-2025-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL6-2025-01-CIRCBIO-10.json","2.77","4.61","0.0","Biomanufacturing","False","","Support to the EU Biotechnology and Biomanufacturing Initiative: scoping action","See call details","","",""
"eu-43108390101159993","EU Portal","Horizon Europe","Digitalisation of Biomanufacturing of Plasmids for the Development of Advanced Therapy Modalities","HORIZON-WIDERA-2023-ACCESS-02","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101159993/HORIZON","2.77","4.61","0.0","Biomanufacturing","False","","Digitalisation of Biomanufacturing of Plasmids for the Development of Advanced Therapy Modalities","See call details","","",""
"eu-101223091","EU Portal","EIC","Clever Combination of Synthetic Compartmentalization, Carbon Fixation and Compound Biomanufacturing","HORIZON-EIC-2024-PATHFINDERCHALLENGES-01-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/horizon/hop-on/101223091","2.77","4.61","0.0","Biomanufacturing","False","","Clever Combination of Synthetic Compartmentalization, Carbon Fixation and Compound Biomanufacturing","See call details","","","C5"
"eu-HORIZON-JU-IHI-2025-10-03-two-stage","EU Portal","IHI","Innovative Health Initiative JU Call 10","HORIZON-JU-IHI-2025-10-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-IHI-2025-10-03-two-stage.json","2.37","3.95","0.0","Environmental Health, EU Programmes","False","","Per- and Poly-fluoroalkyl substance (PFAS) exposure, emissions, and end of life management in the healthcare sector","See call details","","",""
"eu-SC1-BHC-37-2020","EU Portal","EU Programme","Better Health and care, economic growth and sustainable health systems","H2020-SC1-BHC-2018-2020","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/SC1-BHC-37-2020.json","2.37","3.95","0.0","Therapeutics","False","","Towards the new generation of clinical trials – trials methodology research","See call details","","",""
"eu-HORIZON-JU-GH-EDCTP3-2022-CALL1-01-05","EU Portal","Horizon Europe","Research and Innovation actions supporting the global health EDCTP3 Joint Undertaking","HORIZON-JU-GH-EDCTP3-2022-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-JU-GH-EDCTP3-2022-CALL1-01-05.json","2.37","3.95","0.0","Therapeutics","False","","Strengthening regulatory capacity for supporting conduct of clinical trials","See call details","","",""
"eu-31045243777389","EU Portal","EU Programme","conect4children (COllaborative Network for European Clinical Trials For Children)","H2020-JTI-IMI2-2016-10-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/31045243/777389/H2020","2.37","3.95","0.0","Therapeutics","False","","conect4children (COllaborative Network for European Clinical Trials For Children)","See call details","","",""
"eu-50161257","EU Portal","Horizon Europe - Health","Cluster 1 - Health (Single stage - 2027/2)","HORIZON-HLTH-2027-03","","2027-09-22","2027-09-22","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2027-03-TOOL-04","1.97","3.29","0.0","Digital Health/AI","False","","Virtual Human Twins (VHTs) for integrated clinical decision support in prevention and diagnosis","See call details","{'budgetYearsColumns': ['2027'], 'budgetTopicActionMap': {'113287': [{'action': 'HORIZON-HLTH-2027-03-TOOL-02 - HORIZON-RIA HORIZON  Research and Innovation Actions', 'expectedGrants': 4, 'minContribu","","HORIZON-HLTH-2027-03-TOOL-04"
"eu-HORIZON-HLTH-2023-TOOL-05-05","EU Portal","Horizon Europe - Health","Tools and technologies for a healthy society (Single stage - 2023)","HORIZON-HLTH-2023-TOOL-05","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2023-TOOL-05-05.json","1.97","3.29","0.0","Diagnostics","False","","Harnessing the potential of real-time data analysis and secure Point-of-Care computing for the benefit of person-centred health and care delivery","See call details","","",""
"eu-HORIZON-HLTH-2021-IND-07-03","EU Portal","Horizon Europe - Health","A competitive health-related industry (2021)","HORIZON-HLTH-2021-IND-07","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2021-IND-07-03.json","1.97","3.29","0.0","Digital Health/AI","False","","Promoting a trusted mHealth label in Europe: uptake of technical specifications for quality and reliability of health and wellness apps","See call details","","",""
"eu-HORIZON-HLTH-2021-TOOL-06-03","EU Portal","Horizon Europe - Health","Tools and technologies for a healthy society (2021)","HORIZON-HLTH-2021-TOOL-06","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2021-TOOL-06-03.json","1.97","3.29","0.0","Digital Health/AI","False","","Innovative tools for use and re-use of health data (in particular of electronic health records and/or patient registries)","See call details","","",""
"eu-HORIZON-HLTH-2022-STAYHLTH-01-04-two-stage","EU Portal","Horizon Europe - Health","Staying healthy (Two stage - 2022)","HORIZON-HLTH-2022-STAYHLTH-01-two-stage","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2022-STAYHLTH-01-04-two-stage.json","1.97","3.29","0.0","Digital Health/AI","False","","Trustworthy artificial intelligence (AI) tools to predict the risk of chronic non-communicable diseases and/or their progression","See call details","","",""
"eu-50140498","EU Portal","Horizon Europe - Health","Cluster 1 - Health (Two stage - 2027)","HORIZON-HLTH-2027-02-two-stage","","2027-04-13","2027-04-13","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2027-02-TOOL-01-two-stage","1.97","3.29","0.0","Diagnostics","False","","Development of predictive biomarkers of disease progression and treatment response by using AI methodologies for chronic non-communicable diseases","See call details","{'budgetYearsColumns': ['2027'], 'budgetTopicActionMap': {'113117': [{'action': 'HORIZON-HLTH-2027-02-DISEASE-14-two-stage - HORIZON-RIA HORIZON  Research and Innovation Actions', 'expectedGrants': 4,","","HORIZON-HLTH-2027-02-TOOL-01-two-stage"
"eu-31045243860462","EU Portal","MSCA","Precision medicine for muscoloskeletal regeneration, prosthetics and active ageing","H2020-MSCA-ITN-2019","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/31045243/860462/H2020","1.97","3.29","0.0","Precision Medicine","False","","Precision medicine for muscoloskeletal regeneration, prosthetics and active ageing","See call details","","",""
"eu-50871369","EU Portal","Digital Europe","AI Continent","DIGITAL-2026-AI-PILOTING-10","","2026-10-01","2026-10-01","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2026-AI-PILOTING-10-SCREENING","1.97","3.29","0.0","Diagnostics","False","","Apply AI: Piloting AI-based image screening in medical centres","See call details","{'budgetYearsColumns': ['2027'], 'budgetTopicActionMap': {'113940': [{'action': 'DIGITAL-2026-AI-PILOTING-10-SCREENING - DIGITAL-SIMPLE DIGITAL Simple Grants', 'expectedGrants': 2, 'minContribution': ","","DIGITAL-2026-AI-PILOTING-10-SCREENING"
"eu-DT-TDS-04-2020","EU Portal","Digital Europe","Trusted digital solutions and Cybersecurity in Health and Care","H2020-SC1-FA-DTS-2018-2020","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/DT-TDS-04-2020.json","1.97","3.29","0.0","Precision Medicine","False","","AI for Genomics and Personalised Medicine","See call details","","",""
"eu-4bdf9e8e-884e-4a5a-ac75-db17bcc84f0b-PIN","EU Portal","EU Programme","Evaluation of microbiome-relevant biomarkers and in vitro models for xenobiotic risk assessment","EFSA/2026/OP/0008-PIN","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/4bdf9e8e-884e-4a5a-ac75-db17bcc84f0b-PIN","1.97","3.29","0.0","Diagnostics","False","","Evaluation of microbiome-relevant biomarkers and in vitro models for xenobiotic risk assessment","See call details","","",""
"eu-5162fe38-7d23-421a-8148-08c863d75bb8-PIN","EU Portal","EU Programme","Support centre for the European electronic health record exchange Format (EEHRxF) and for the interoperability and security of electronic health record systems","HADEA/2024/OP/0014-PIN","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/5162fe38-7d23-421a-8148-08c863d75bb8-PIN","1.97","3.29","0.0","Digital Health/AI","False","","Support centre for the European electronic health record exchange Format (EEHRxF) and for the interoperability and security of electronic health record systems","See call details","","",""
"eu-HORIZON-HLTH-2023-DISEASE-03-05","EU Portal","Horizon Europe - Health","Tackling diseases (Single stage - 2023)","HORIZON-HLTH-2023-DISEASE-03","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2023-DISEASE-03-05.json","1.58","2.63","0.0","Infectious Disease","False","","Pandemic preparedness and response: Sustaining established coordination mechanisms for European adaptive platform trials and/or for cohort networks","See call details","","",""
"eu-HORIZON-HLTH-2021-DISEASE-04-07","EU Portal","Horizon Europe - Health","Tackling diseases (2021)","HORIZON-HLTH-2021-DISEASE-04","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2021-DISEASE-04-07.json","1.58","2.63","0.0","Infectious Disease","False","","Personalised medicine and infectious diseases: understanding the individual host response to viruses (e.g. SARS-CoV-2)","See call details","","",""
"eu-HORIZON-HLTH-2023-ENVHLTH-02-02","EU Portal","Horizon Europe - Health","Environment and health (Single stage - 2023)","HORIZON-HLTH-2023-ENVHLTH-02","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2023-ENVHLTH-02-02.json","1.58","2.63","0.0","Infectious Disease","False","","Evidence-based interventions for promotion of mental and physical health in changing working environments (post-pandemic workplaces)","See call details","","",""
"eu-HORIZON-HLTH-2021-STAYHLTH-01-02","EU Portal","Horizon Europe - Health","Staying Healthy (2021)","HORIZON-HLTH-2021-STAYHLTH-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2021-STAYHLTH-01-02.json","1.58","2.63","0.0","Mental Health","False","","Towards a molecular and neurobiological understanding of mental health and mental illness for the benefit of citizens and patients","See call details","","",""
"eu-HORIZON-HLTH-2023-CARE-04-01","EU Portal","Horizon Europe - Health","Ensuring access to innovative, sustainable and high-quality health care (Single stage - 2023)","HORIZON-HLTH-2023-CARE-04","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2023-CARE-04-01.json","1.58","2.63","0.0","Cancer/Oncology","False","","Maintaining access to regular health and care services in case of cross-border emergencies","See call details","","",""
"eu-HORIZON-HLTH-2022-DISEASE-07-01","EU Portal","Horizon Europe - Health","Tackling diseases (Single Stage - 2022)","HORIZON-HLTH-2022-DISEASE-07","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2022-DISEASE-07-01.json","1.58","2.63","0.0","Infectious Disease","False","","Support for the functioning of the Global Research Collaboration for Infectious Disease Preparedness (GloPID-R)","See call details","","",""
"eu-HORIZON-HLTH-2021-CARE-05-02","EU Portal","Horizon Europe - Health","Ensuring access to innovative, sustainable and high-quality health care (2021)","HORIZON-HLTH-2021-CARE-05","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2021-CARE-05-02.json","1.58","2.63","0.0","Cancer/Oncology","False","","Data-driven decision-support tools for better health care delivery and policy-making with a focus on cancer","See call details","","",""
"eu-HORIZON-HLTH-2024-DISEASE-08-20","EU Portal","Horizon Europe - Health","Tackling diseases (Single stage - 2024)","HORIZON-HLTH-2024-DISEASE-08","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2024-DISEASE-08-20.json","1.58","2.63","0.0","Infectious Disease","False","","Pandemic preparedness and response: Host-pathogen interactions of infectious diseases with epidemic potential","See call details","","",""
"eu-HORIZON-HLTH-2024-DISEASE-12-01","EU Portal","Horizon Europe - Health","Partnerships in Health (2024)","HORIZON-HLTH-2024-DISEASE-12","","","","https://ec.europa.eu/info/funding-tenders/opportunities/data/topicDetails/HORIZON-HLTH-2024-DISEASE-12-01.json","1.58","2.63","0.0","Infectious Disease","False","","European partnership for pandemic preparedness","See call details","","",""
"eu-HORIZON-HLTH-2023-DISEASE-07-01","EU Portal","Horizon Europe - Health","Partnerships in Health (2023)","HORIZON-HLTH-2023-DISEASE-07","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2023-DISEASE-07-01.json","1.58","2.63","0.0","Rare Diseases","False","","European Partnership on Rare Diseases","See call details","","",""
"eu-50136868","EU Portal","Horizon Europe - Health","Partnerships in Health (2026/2)","HORIZON-HLTH-2026-03","","2027-04-13","2027-04-13","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2026-03-DISEASE-13","1.58","2.63","0.0","Infectious Disease","False","","European Partnership for Pandemic Preparedness (Phase 2)","See call details","{'budgetYearsColumns': ['2027', '2026'], 'budgetTopicActionMap': {'113105': [{'action': 'HORIZON-HLTH-2026-03-DISEASE-13 - HORIZON-COFUND HORIZON Programme Cofund Actions', 'expectedGrants': 1, 'minCo","","HORIZON-HLTH-2026-03-DISEASE-13"
"eu-HORIZON-HLTH-2026-02-DISEASE-12","EU Portal","Horizon Europe - Health","Partnerships in Health (2026/1)","HORIZON-HLTH-2026-02","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-HLTH-2026-02-DISEASE-12.json","1.58","2.63","0.0","Rare Diseases","False","","European Partnership on Rare Diseases (ERDERA) (Phase 2)","See call details","","",""
"eu-43108390101095245","EU Portal","Horizon Europe - Health","Implementing value-based oncology care at European cancer hospitals: An AI-based framework for assessing real-life effectiveness of novel cancer therapies in real-time","HORIZON-HLTH-2022-TOOL-11","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101095245/HORIZON","1.58","2.63","0.0","Cancer/Oncology","False","","Implementing value-based oncology care at European cancer hospitals: An AI-based framework for assessing real-life effectiveness of novel cancer therapies in real-time","See call details","","",""
"eu-43108390101118744","EU Portal","ERC","A sonogenetic brain-machine interface for neurosciences and visual restoration","ERC-2023-SyG","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101118744/HORIZON","1.58","2.63","0.0","Neuroscience","False","","A sonogenetic brain-machine interface for neurosciences and visual restoration","See call details","","",""
"eu-43108390101079001","EU Portal","Horizon Europe","BRAIN RESEARCH AND INTEGRATIVE NEUROSCIENCE NETWORK FOR COVID-19","HORIZON-WIDERA-2021-ACCESS-03","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101079001/HORIZON","1.58","2.63","0.0","Neuroscience","False","","BRAIN RESEARCH AND INTEGRATIVE NEUROSCIENCE NETWORK FOR COVID-19","See call details","","",""
"eu-369ac161-6e6b-4993-bdbd-76a766fbd8c1-EXA","EU Portal","EU Programme","Work-related cardiovascular diseases (CVDs) in figures – Exploratory research","OSHA/2025/LVP/0003-EXA","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/369ac161-6e6b-4993-bdbd-76a766fbd8c1-EXA","1.58","2.63","0.0","Cardiovascular","False","","Work-related cardiovascular diseases (CVDs) in figures – Exploratory research","See call details","","",""
"eu-43108390101115381","EU Portal","EIC","MultiomIcs based Risk stratification of Atherosclerotic CardiovascuLar disEase","HORIZON-EIC-2022-PATHFINDERCHALLENGES-01","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/projects-details/43108390/101115381/HORIZON","1.58","2.63","0.0","Cardiovascular","False","","MultiomIcs based Risk stratification of Atherosclerotic CardiovascuLar disEase","See call details","","",""
"eu-7607462c-8b8a-4f7f-a889-a8cc7555fea3-EXA","EU Portal","EU Programme","Overview of regulation, policies, strategies, initiatives and programmes for the prevention of work-related cardiovascular diseases (CVDs)","OSHA/2025/LVP/0002-EXA","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/7607462c-8b8a-4f7f-a889-a8cc7555fea3-EXA","1.58","2.63","0.0","Cardiovascular","False","","Overview of regulation, policies, strategies, initiatives and programmes for the prevention of work-related cardiovascular diseases (CVDs)","See call details","","",""
